time,artist,song,album,album_label,album_year,note,url
7:00 AM,Katrina & The Waves,"River Deep, Mountain High (Bonus Track)",Katrina and the Waves 2,CGB Records,1985,A rollicking take on the Ike & Tina Turner/Phil Spector masterpiece.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
7:03 AM,Mott the Hoople,All the Way from Memphis,Mott (Legacy Edition),COLUMBIA/LEGACY,1973,Quite simply perfect.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
7:08 AM,Van Morrison,Spanish Rose,Bang Masters,Sony,1991,Van's brief foray at Bang did a lot more than give a record for every bar band in America to play 50 to 100 times a year for 50 years.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
7:14 AM,The Easybeats,Good Times,The Best of The Easybeats,Repertoire Records,2005,Angus & Malcolm's big brother George had one heck of a band.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
7:17 AM,The Strypes,Angel Eyes,Snapshot,Universal,2014,I'm hoping these kids hang on to their roots as they get older (and release some more music)!,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
7:21 AM,Cheap Trick,I Want You to Want Me,In Color,Epic,1977,When's the last time you heard the original version?,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
7:25 AM,Devo,Jerkin' Back And Forth,New Traditionalists,Warner Bros.,1981,These guys knew their way around hooks.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
7:28 AM,Javier Escovedo,It Ain't Easy,Kicked out of Eden,Saustex Media,2016,Alejandro's brother still rocks hard.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
7:33 AM,Shelby Lynne,Something to be Said,"Tears, Lies, and Alibis",Everso,2010,Her singing just intoxicates me.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
7:37 AM,Chris Isaak,Reverie,First Comes The Night,Vanguard,2015,That opening piano hook is so cool!,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
7:41 AM,Elvis Costello,Soul for Hire,When I Was Cruel,Island Def Jam,2002,It's hard to believe this record came out 14 years ago.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
7:45 AM,Peter Holsapple & Chris Stamey,The Child in You,Mavericks,RNA,1991,"Happy birthday to Peter Holsapple, who has given me some of my favorite music of the last 35 years.",https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
7:49 AM,Kirsty Maccoll,La Forêt De Mimosas,Kite,I.R.S.,1989,"Since I last studied French in 1978, I only understand about every tenth word in this song. But it's gorgeous.",https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
7:53 AM,John Cale,Days of Steam,The Academy In Peril,Reprise,1972,A short and lovely instrumental.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
8:01 AM,Rough Shop,Clean Slate,Here Today,Perdition Records,2008,"Anne Tkach never sang nearly enough for my taste - what a beautiful voice, what a lovely talent.",https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
8:05 AM,Rhiannon Giddens,Tomorrow is My Turn,Tomorrow Is My Turn,Nonesuch,2015,Magnificent vocal performance.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
8:10 AM,Janiva Magness,End of Our Road,The Devil is an Angel Too,Alligator,2010,Funky and soulful.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
8:14 AM,Wynonna & The Big Noise,Staying in Love,Wynonna & The Big Noise,"Curb Records, Inc.",2016,Giving a country spin to a great Raphael Saadiq song.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
8:18 AM,Little Feat,Ain't Had Enough Fun,Ain't Had Enough Fun,Little Feat,1995,"I don't often listen to the revived Little Feat, but this song jumped out at me the other day.",https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
8:22 AM,Southside Johnny & the Asbury Jukes,Spinning,Soultime,Leroy,2015,It sure makes me happy to know ol' Southside is still out there doing it.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
8:26 AM,Clarence Carter,Too Weak to Fight,Best Of Clarence Carter,Atlantic,2001,"Maybe too weak to fight, but not to weak to belt it out.",https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
8:28 AM,Lloyd Glenn,Good Times Back Home,Honky Tonk Train,Night Train,1983,Cool jumpin' piano.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
8:32 AM,"The Nat ""King"" Cole Trio",That Ain't Right,"Hit That Jive, Jack: The Earliest Recordings",grp,1990,It's taken me a long time to really start hearing these amazing early records by Cole.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
8:35 AM,Dave Alvin & Phil Alvin,Feeling Happy,Lost Time,Yep Roc,2015,Rockin' up a Big Joe Turner number.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
8:38 AM,Dave Alvin,Redneck Friend,West Of The West,Yep Roc,2006,Dave's nifty version of the Jackson Browne classic.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
8:44 AM,Dori Freeman,Fine Fine Fine,Dori Freeman,Free Dirt,2015,She'll be at the Stage at KDHX opening for Anna & Elizabeth tomorrow night. I'd be there if I wasn't working.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
8:47 AM,Bible Belt Sinners,Bad Guy,Sunday Best,self-released,2014,St. Louis band with gusto.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
8:50 AM,AC/DC,You Ain't Got a Hold On Me,'74 Jailbreak - EP,Epic,1984,George Young's little brothers Malcom and Angus had a pretty great band.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
8:54 AM,Ronnie Dawson,Party Town,Just Rockin' & Rollin',Upstart,1996,Dawson knew how to make it sound like a party.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
9:01 AM,The Kinks,Education,Schoolboys In Disgrace,RCA Records,1975,"Probing the mystery of life and the advantages of learning things, all with a good beat and catchy tune.",https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
9:08 AM,Destroyer,Archer on the Beach,Poison Season,Merge,2015,Darkly funky beat with a jazzy essence. Beautiful record.,https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
9:14 AM,Palaver,Lay Me Down,Palaver,self-released,2015,"Brilliant combination of vocal, piano, lyrics, and melody. I love this record more and more all the time.",https://spinitron.com//KDHX/pl/5344299/Sound-Salvation
